Week,Data,Statistics
2018-04-29,92,30
2018-05-06,89,28
2018-05-13,88,26
2018-05-20,86,23
2018-05-27,83,21
2018-06-03,88,20
2018-06-10,87,18
2018-06-17,85,19
2018-06-24,87,17
2018-07-01,76,17
2018-07-08,83,17
2018-07-15,85,17
2018-07-22,86,17
2018-07-29,84,16
2018-08-05,85,17
2018-08-12,85,17
2018-08-19,86,20
2018-08-26,90,23
2018-09-02,88,24
2018-09-09,95,26
2018-09-16,98,27
2018-09-23,98,28
2018-09-30,95,28
2018-10-07,93,26
2018-10-14,94,27
2018-10-21,91,28
2018-10-28,94,28
2018-11-04,91,28
2018-11-11,89,27
2018-11-18,69,19
2018-11-25,93,27
2018-12-02,92,28
2018-12-09,90,27
2018-12-16,78,19
2018-12-23,56,11
2018-12-30,66,14
2019-01-06,84,23
2019-01-13,92,23
2019-01-20,89,24
2019-01-27,97,26
2019-02-03,97,26
2019-02-10,96,26
2019-02-17,94,26
2019-02-24,96,26
2019-03-03,94,26
2019-03-10,92,25
2019-03-17,89,25
2019-03-24,94,26
2019-03-31,96,26
2019-04-07,93,27
2019-04-14,92,25
2019-04-21,100,29
